"sex" "year" "aggr_level" "aggr_level_val" "event" "ht.code" "mov.avg" "age.std" "rate" "n.events"
"female" 2004 "age" "85+" "n.patients.med" "m1" 0 0 24034.1 16933
"female" 2004 "age" "85+" "n.patients.med" "m2" 0 0 69954.9 49286
"female" 2004 "age" "85+" "n.patients.med" "m3" 0 0 2806.1 1977
"female" 2004 "age" "85+" "n.patients.med" "m4" 0 0 1379.6 972
"female" 2004 "age" "85+" "n.patients.med" "m5" 0 0 40206.4 28327
"female" 2004 "age" "85+" "n.patients.med" "m6" 0 0 3674.7 2589
"female" 2004 "age" "85+" "n.patients.med" "m7" 0 0 78048.1 54988
"female" 2004 "age" "65 - 74" "n.patients.med" "m1" 0 0 6975.1 15722
"female" 2004 "age" "65 - 74" "n.patients.med" "m2" 0 0 49391.1 111328
"female" 2004 "age" "65 - 74" "n.patients.med" "m3" 0 0 16387.2 36937
"female" 2004 "age" "65 - 74" "n.patients.med" "m4" 0 0 609.6 1374
"female" 2004 "age" "65 - 74" "n.patients.med" "m5" 0 0 20731.9 46730
"female" 2004 "age" "65 - 74" "n.patients.med" "m6" 0 0 2958.3 6668
"female" 2004 "age" "65 - 74" "n.patients.med" "m7" 0 0 55903 126006
"female" 2004 "age" "75 - 84" "n.patients.med" "m1" 0 0 15477.4 25817
"female" 2004 "age" "75 - 84" "n.patients.med" "m2" 0 0 64505.3 107598
"female" 2004 "age" "75 - 84" "n.patients.med" "m3" 0 0 12366.5 20628
"female" 2004 "age" "75 - 84" "n.patients.med" "m4" 0 0 1159.4 1934
"female" 2004 "age" "75 - 84" "n.patients.med" "m5" 0 0 33574.5 56004
"female" 2004 "age" "75 - 84" "n.patients.med" "m6" 0 0 5669.5 9457
"female" 2004 "age" "75 - 84" "n.patients.med" "m7" 0 0 71384 119072
"female" 2004 "age" "45 - 54" "n.patients.med" "m1" 0 0 1049.4 3800
"female" 2004 "age" "45 - 54" "n.patients.med" "m2" 0 0 19067.5 69045
"female" 2004 "age" "45 - 54" "n.patients.med" "m3" 0 0 3941.4 14272
"female" 2004 "age" "45 - 54" "n.patients.med" "m4" 0 0 138.6 502
"female" 2004 "age" "45 - 54" "n.patients.med" "m5" 0 0 3142.4 11379
"female" 2004 "age" "45 - 54" "n.patients.med" "m6" 0 0 405.4 1468
"female" 2004 "age" "45 - 54" "n.patients.med" "m7" 0 0 21540.5 78000
"female" 2004 "age" "55 - 64" "n.patients.med" "m1" 0 0 2537.9 8816
"female" 2004 "age" "55 - 64" "n.patients.med" "m2" 0 0 32455.1 112740
"female" 2004 "age" "55 - 64" "n.patients.med" "m3" 0 0 10118.3 35148
