"variable" "ht.code" "count_n_" "n_denom" "rate_strat" "year" "aggr_level"
"prevalence" 1 9097 5327096 170.768463718319 2004 "totals"
"prevalence" 2 5690 5327096 106.812417121824 2004 "totals"
"prevalence" 3 3087 5327096 57.9490213805045 2004 "totals"
"prevalence" 4 17874 5327096 335.529902220647 2004 "totals"
"incidence" 1 545 5327096 10.2307148209831 2004 "totals"
"incidence" 2 247 5327096 4.63667258859236 2004 "totals"
"incidence" 3 143 5327096 2.68438939339558 2004 "totals"
"incidence" 4 935 5327096 17.5517768029711 2004 "totals"
"opr" 1 127 5327096 2.38403813259607 2004 "totals"
"opr" 2 118 5327096 2.21509054839635 2004 "totals"
"opr" 3 298 5327096 5.59404223239078 2004 "totals"
"opr" 4 543 5327096 10.1931709133832 2004 "totals"
"opr_patients" 1 125 5327096 2.34649422499613 2004 "totals"
"opr_patients" 2 109 5327096 2.04614296419663 2004 "totals"
"opr_patients" 3 252 5327096 4.7305323575922 2004 "totals"
"opr_patients" 4 486 5327096 9.12316954678496 2004 "totals"
"prevalence" 1 9658 5341853 180.798685399991 2005 "totals"
"prevalence" 2 5993 5341853 112.189534230912 2005 "totals"
"prevalence" 3 3262 5341853 61.0649525548532 2005 "totals"
"prevalence" 4 18913 5341853 354.053172185757 2005 "totals"
"incidence" 1 578 5341853 10.8202153821904 2005 "totals"
"incidence" 2 298 5341853 5.57858855344765 2005 "totals"
"incidence" 3 153 5341853 2.86417465999158 2005 "totals"
"incidence" 4 1029 5341853 19.2629785956296 2005 "totals"
"opr" 1 113 5341853 2.11537082731404 2005 "totals"
"opr" 2 140 5341853 2.62081341437138 2005 "totals"
"opr" 3 272 5341853 5.09186606220725 2005 "totals"
"opr" 4 525 5341853 9.82805030389268 2005 "totals"
"opr_patients" 1 110 5341853 2.05921053986323 2005 "totals"
"opr_patients" 2 122 5341853 2.28385168966649 2005 "totals"
"opr_patients" 3 215 5341853 4.02482060064176 2005 "totals"
"opr_patients" 4 447 5341853 8.36788283017148 2005 "totals"
"prevalence" 1 10233 5358810 190.956574314073 2006 "totals"
"prevalence" 2 6336 5358810 118.23520520414 2006 "totals"
"prevalence" 3 3444 5358810 64.2679997984627 2006 "totals"
"prevalence" 4 20013 5358810 373.459779316677 2006 "totals"
"incidence" 1 534 5358810 9.96489892345502 2006 "totals"
"incidence" 2 284 5358810 5.29968407165024 2006 "totals"
"incidence" 3 136 5358810 2.5378768793818 2006 "totals"
"incidence" 4 954 5358810 17.8024598744871 2006 "totals"
"opr" 1 137 5358810 2.55653773878902 2006 "totals"
"opr" 2 157 5358810 2.92975492693341 2006 "totals"
"opr" 3 281 5358810 5.24370149342858 2006 "totals"
"opr" 4 575 5358810 10.729994159151 2006 "totals"
"opr_patients" 1 135 5358810 2.51921601997458 2006 "totals"
"opr_patients" 2 138 5358810 2.57519859819624 2006 "totals"
"opr_patients" 3 233 5358810 4.34798024188206 2006 "totals"
"opr_patients" 4 506 5358810 9.44239486005288 2006 "totals"
"prevalence" 1 10902 5381856 202.569522484437 2007 "totals"
"prevalence" 2 6758 5381856 125.570063561716 2007 "totals"
"prevalence" 3 3633 5381856 67.5045932109666 2007 "totals"
"prevalence" 4 21293 5381856 395.644179257119 2007 "totals"
"incidence" 1 643 5381856 11.9475511793701 2007 "totals"
"incidence" 2 289 5381856 5.36989469803726 2007 "totals"
"incidence" 3 121 5381856 2.248295011981 2007 "totals"
"incidence" 4 1053 5381856 19.5657408893883 2007 "totals"
"opr" 1 131 5381856 2.43410451710339 2007 "totals"
"opr" 2 165 5381856 3.06585683451954 2007 "totals"
"opr" 3 288 5381856 5.35131374752502 2007 "totals"
"opr" 4 584 5381856 10.851275099148 2007 "totals"
"opr_patients" 1 129 5381856 2.39694261607891 2007 "totals"
"opr_patients" 2 145 5381856 2.69423782427475 2007 "totals"
"opr_patients" 3 243 5381856 4.51517097447423 2007 "totals"
"opr_patients" 4 517 5381856 9.60635141482789 2007 "totals"
"prevalence" 1 11571 5411270 213.831503510267 2008 "totals"
