"sex" "year" "aggr_level" "aggr_level_val" "event" "ht.code" "mov.avg" "age.std" "rate" "n.events"
"female" 2004 "age" "18 - 34" "n.admissions" "d11" 0 0 2.2 12
"female" 2004 "age" "18 - 34" "n.admissions.ppl" "d11" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead.year" "d11" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead1" "d11" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.dead5" "d11" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.incidence" "d11" 0 0 4.6 25
"female" 2004 "age" "18 - 34" "n.prevalence" "d11" 0 0 23.7 128
"female" 2004 "age" "18 - 34" "n.readmissions.30" "d11" 0 0 NA NA
"female" 2004 "age" "18 - 34" "n.readmissions.ppl.30" "d11" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.admissions" "d11" 0 0 5.5 22
"female" 2004 "age" "35 - 44" "n.admissions.ppl" "d11" 0 0 3.5 14
"female" 2004 "age" "35 - 44" "n.dead.year" "d11" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead1" "d11" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.dead5" "d11" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.incidence" "d11" 0 0 8.5 34
"female" 2004 "age" "35 - 44" "n.prevalence" "d11" 0 0 49.2 197
"female" 2004 "age" "35 - 44" "n.readmissions.30" "d11" 0 0 NA NA
"female" 2004 "age" "35 - 44" "n.readmissions.ppl.30" "d11" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.admissions" "d11" 0 0 14.1 51
"female" 2004 "age" "45 - 54" "n.admissions.ppl" "d11" 0 0 8.8 32
"female" 2004 "age" "45 - 54" "n.dead.year" "d11" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead1" "d11" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.dead5" "d11" 0 0 NA NA
"female" 2004 "age" "45 - 54" "n.incidence" "d11" 0 0 17.7 64
"female" 2004 "age" "45 - 54" "n.prevalence" "d11" 0 0 96.7 350
"female" 2004 "age" "45 - 54" "n.readmissions.30" "d11" 0 0 4.7 17
"female" 2004 "age" "45 - 54" "n.readmissions.ppl.30" "d11" 0 0 37500 12
"female" 2004 "age" "55 - 64" "n.admissions" "d11" 0 0 29.1 101
